email_text,reply_text,sentiment,urgency
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
"I love your product! Thanks for great service.","Thank you for your kind words! We're glad you're enjoying it.",positive,false
"This is urgent! I haven't received my refund.","We apologise for the delay. We've processed your refund and you should see it within 3-5 days.",negative,true
"Where can I find the warranty information?","You can find warranty details on our website under Support > Warranty.",neutral,false
"I'm frustrated, the app keeps crashing.","We're sorry for the inconvenience. Please reinstall the app and let us know if the issue persists.",negative,false
"Do you ship internationally?","Yes, we ship to most countries. Shipping times may vary.",neutral,false
"Thank you for the prompt response earlier.","You're welcome! We're happy to help.",positive,false
"I need to change my shipping address immediately.","We've updated your shipping address as requested. Let us know if there's anything else.",neutral,true
"Your customer service is terrible.","We're sorry to hear that. Please let us know what went wrong so we can improve.",negative,false
"I need help with my order, it arrived damaged.","We're sorry to hear about the damage. Please send us a photo and we'll arrange a replacement.",negative,true
"Can you tell me when my package will arrive?","Your order is on the way and should arrive within 3-5 business days.",neutral,false
